issue,subject,company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,team_enterprise,Escalate to a human,The provided documentation covers workspace member management for admins but does not contain policies or procedures for restoring access to a user whose seat has been removed by an IT administrator.,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,general_help,Escalate to a human,The user is requesting a manual review and grade adjustment of their assessment. The provided documentation covers integration setup and status syncing but does not contain policies or procedures for manual test grading or candidate dispute resolution.,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,replied,dispute,"To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card. Your issuer or bank will require detailed information regarding the transaction to assist you with the dispute process. Please note that Visa does not have access to cardholder accounts or the ability to directly issue refunds or ban merchants.",The documentation explicitly states that cardholders must contact their issuer or bank to dispute a charge and clarifies that Visa does not have access to cardholder or merchant accounts to perform actions like issuing refunds or banning merchants.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,replied,billing,"I am sorry to hear that your mock interview was interrupted. According to our refund policy, if you are not satisfied with your mock interview, please contact help@hackerrank.com. Our support team will promptly review your request.",The documentation explicitly provides a refund policy for mock interviews and directs users to contact help@hackerrank.com for assistance with such requests.,product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,replied,billing,"If your payment failed, please refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. Please note that HackerRank does not store payment methods, and you can select your preferred payment option in the Stripe or Razorpay pop-up during the purchase process.","The documentation explicitly addresses payment failures, providing instructions to refresh/retry and confirming the refund timeline for incorrect deductions.",product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,general_help,Escalate to a human,"The provided documentation covers technical integration and login procedures but does not contain information regarding security questionnaires, infosec compliance forms, or vendor risk assessment processes.",product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,community,"To access the Apply tab, please log in to the HackerRank Community site at https://www.hackerrank.com/auth/login using your credentials. Once logged in, you should be able to navigate to the Apply tab to view QuickApply options.",The documentation explicitly states that users must log in to the HackerRank Community site to access the 'Apply' tab for setting up QuickApply.,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,general_support,Escalate to a human,Detected signals of a platform-wide outage. Escalating immediately.,bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,escalated,screen,Escalate to a human,The provided documentation covers test settings and content modifications but does not address technical troubleshooting for Zoom connectivity or system compatibility checks.,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,screen,Escalate to a human,The provided documentation does not contain information regarding assessment rescheduling policies for candidates. This is a support request that requires human intervention as it is not covered by the available knowledge base.,product_issue
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,escalated,general_support,Escalate to a human,Detected signals of a platform-wide outage. Escalating immediately.,bug
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,replied,community,"You can update the name on your certificate by opening your certificate page, entering the desired name in the 'Full Name' field, and clicking 'Regenerate Certificate'. Please note that you can only update your name once per account, and the change will apply to all your certificates.",The documentation explicitly provides the steps to update a name on a certificate under the 'Certifications FAQs' article.,product_issue
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,escalated,general_support,Escalate to a human,High-risk security or fraud keyword detected: \bvulnerability\b,product_issue
I want Claude to stop crawling by website,Website Data crawl,Claude,replied,privacy,"To block Anthropic's crawlers from your website, you must modify the robots.txt file in your website's top-level directory. To block a bot from your entire website, add the following to your robots.txt file: User-agent: ClaudeBot Disallow: / You should perform this for every subdomain you wish to opt out from. Please note that alternate methods, such as blocking IP addresses, may not work correctly or persistently.",The documentation explicitly provides instructions on how to opt out of web crawling by Anthropic bots using robots.txt directives.,product_issue
I need urgent cash but don't have any right now & only the VISA card,Urgent need for cash,Visa,replied,atm,"If you have a Visa card that bears the PLUS logo, you can use it to withdraw local currency at any ATM worldwide that displays the PLUS mark. You can locate nearby ATMs using the Visa ATM locator at https://www.visa.com/atmlocator/. If you require further assistance or are experiencing issues, please contact your card issuer directly using the phone number on the back of your card.",The documentation explicitly provides instructions for cash withdrawal using Visa cards with the PLUS logo and directs users to the ATM locator tool.,product_issue
"I am allowing Claude to use my data to improve the models, how long will the data be used for?",Personal Data Use,Claude,escalated,privacy,Escalate to a human,"The provided documentation explains how data is protected and how users can control model improvement settings, but it does not specify the duration for which data is retained or used for model training purposes.",product_issue
